Sat Nov 11 15:14:01 2023    output.pstats

         126885478 function calls (126795106 primitive calls) in 300.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     16/1    0.000    0.000  300.429  300.429 {built-in method builtins.exec}
        1    0.314    0.314  300.429  300.429 <string>:1(<module>)
        1    0.132    0.132  300.115  300.115 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/main.py:23(main)
       20  200.075   10.004  200.075   10.004 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000  199.955   49.989 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:604(wait)
        4    0.000    0.000  199.955   49.989 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:288(wait)
        4    0.000    0.000  199.955   49.989 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/_base.py:199(as_completed)
        1    2.690    2.690   84.285   84.285 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/fa_utilities.py:27(create_parent_network)
        1    0.000    0.000   62.059   62.059 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:9266(apply)
        1    0.035    0.035   62.059   62.059 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:645(apply)
        1    0.000    0.000   62.024   62.024 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:797(apply_standard)
        1    2.762    2.762   61.301   61.301 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:803(apply_series_generator)
  1972248    3.708    0.000   45.544    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/fa_utilities.py:51(<lambda>)
  3944496   10.786    0.000   40.894    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/series.py:992(__getitem__)
        1    0.000    0.000   18.134   18.134 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/frame.py:1878(to_dict)
        1    0.000    0.000   18.133   18.133 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/methods/to_dict.py:18(to_dict)
        1    3.831    3.831   18.132   18.132 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/methods/to_dict.py:156(<listcomp>)
  3944496    6.300    0.000   16.961    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/series.py:1099(_get_value)
        1    0.020    0.020   15.161   15.161 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:126(create_random_subnetworks)
     5000   12.165    0.002   14.811    0.003 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:98(create_individual_subnetwork)
  5916744    2.870    0.000   11.380    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/methods/to_dict.py:157(<genexpr>)
  1972249    3.906    0.000    9.265    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:918(series_generator)
  3944496    5.804    0.000    8.510    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:182(maybe_box_native)
  3944502    5.614    0.000    8.393    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexing.py:2609(check_dict_or_set_indexers)
25756120/25756110    5.781    0.000    8.340    0.000 {built-in method builtins.isinstance}
  3944500    3.910    0.000    6.331    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexes/base.py:3625(get_loc)
  3944515    2.302    0.000    3.662    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/series.py:718(_values)
  1972248    2.758    0.000    3.192    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2063(set_values)
  1972249    2.615    0.000    2.615    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/methods/to_dict.py:153(<genexpr>)
     5000    0.153    0.000    2.595    0.001 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:75(generate_12_genes)
  1972470    1.098    0.000    2.558    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
  3944506    1.733    0.000    2.413    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/common.py:367(apply_if_callable)
     5000    0.163    0.000    2.151    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:20(create_loci)
 11833509    1.923    0.000    1.923    0.000 {pandas._libs.lib.is_integer}
  3944500    1.682    0.000    1.682    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  1972272    1.607    0.000    1.609    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:5991(__setattr__)
  1972470    1.029    0.000    1.461    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
  3944515    1.360    0.000    1.360    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:2011(internal_values)
    60000    0.835    0.000    1.217    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/module2_stage1_subnetworks.py:28(<listcomp>)
  1972257    0.942    0.000    0.942    0.000 {built-in method builtins.sorted}
  3944511    0.783    0.000    0.783    0.000 {pandas._libs.lib.is_scalar}
  3944500    0.740    0.000    0.740    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexes/base.py:6354(_maybe_cast_indexer)
    20/16    0.020    0.001    0.724    0.045 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/series.py:368(__init__)
        1    0.000    0.000    0.723    0.723 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/apply.py:822(wrap_results)
        1    0.000    0.000    0.709    0.709 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:814(read_csv)
        1    0.013    0.013    0.709    0.709 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:540(_read)
        3    0.033    0.011    0.708    0.236 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/series.py:521(_init_dict)
        1    0.000    0.000    0.693    0.693 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1688(read)
  3944517    0.680    0.000    0.680    0.000 {built-in method builtins.callable}
       15    0.014    0.001    0.662    0.044 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/construction.py:494(sanitize_array)
        1    0.007    0.007    0.650    0.650 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        5    0.014    0.003    0.647    0.129 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:123(maybe_convert_platform)
     5009    0.628    0.000    0.640    0.000 {built-in method io.open}
  3944505    0.615    0.000    0.615    0.000 {pandas._libs.lib.is_float}
        1    0.598    0.598    0.605    0.605 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
  3944500    0.583    0.000    0.583    0.000 {pandas._libs.lib.is_bool}
       32    0.000    0.000    0.522    0.016 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexes/base.py:7072(ensure_index)
        6    0.007    0.001    0.522    0.087 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexes/base.py:469(__new__)
       12    0.501    0.042    0.502    0.042 {pandas._libs.lib.maybe_convert_objects}
  1972249    0.500    0.000    0.500    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/indexes/range.py:395(__iter__)
2034169/2034072    0.446    0.000    0.446    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.432    0.144 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:762(submit)
  1972850    0.432    0.000    0.432    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:728(_adjust_process_count)
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:751(_spawn_process)
        3    0.000    0.000    0.427    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:110(start)
        3    0.000    0.000    0.426    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:285(_Popen)
        3    0.000    0.000    0.425    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_spawn_posix.py:30(__init__)
        3    0.000    0.000    0.425    0.142 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_fork.py:15(__init__)
